scenario,rows,coverage_pct,defects,defect_rate_pct,defects_reduced_vs_baseline,relative_rate_reduction_pct
?? ??,72762,100.0,3696,5.079574503174734,0,0.0
???? 5? ?? ??,71362,98.07591874879745,2296,3.217398615509655,1400,36.660076282003914
??? 2? ?? 9? ??,67735,93.09117396443199,2206,3.2568096257473975,1490,35.884204007404726
???? + ??? 2? ?? ?? ??,67010,92.09477474505924,1481,2.2101178928518133,2215,56.49009791134101
???? ?? ? ?? ??(???? 1.59~2.0)? ??,7701,10.583821225364888,0,0.0,3696,100.0
???? ?? ? ?? 2??(????4 3.1~3.2 + ??????2 3.0),6864,9.433495505895936,3,0.043706293706293704,3693,99.1395678185451
